tissue	amplicon	module	asv_id	rho	p_value	n	padj	Genus
Leaf	16S	blue	ASV221	0.147289561327451	0.524043376393847	21	0.720111914276654	Staphylococcus
Leaf	16S	blue	ASV262	0.354315579102626	0.115053674896605	21	0.349725625894772	Corynebacterium
Leaf	16S	blue	ASV317	-0.285881670992957	0.209016628276351	21	0.456326379290354	Acinetobacter
Leaf	16S	purple	ASV003	-0.345105410506561	0.125485438095577	21	0.362513487831668	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	purple	ASV004	-0.293172663295509	0.197125826491203	21	0.444556663997814	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	purple	ASV005	0.138380699986703	0.54970698293203	21	0.734655126722245	Vibrionimonas
Leaf	16S	purple	ASV006	-0.0347576499687485	0.881103127333761	21	0.933316645990576	Ralstonia
Leaf	16S	purple	ASV008	-0.482829369181203	0.0266216741016409	21	0.155690672507443	Methylobacterium-Methylorubrum
Leaf	16S	purple	ASV012	-0.398844033391389	0.0732956649758922	21	0.270000914499244	Paenarthrobacter
Leaf	16S	purple	ASV013	-0.323819788735894	0.152147965963956	21	0.413635653695968	Azospirillum
Leaf	16S	purple	ASV018	-0.468359333328887	0.0322418284010456	21	0.162452438597722	Edaphobacter
Leaf	16S	purple	ASV020	-0.431677059256038	0.0506983918139183	21	0.216414030728069	Methylobacterium-Methylorubrum
Leaf	16S	purple	ASV021	-0.632952786489644	0.0020727145126561	21	0.0269452886645293	Rhizobiaceae
Leaf	16S	purple	ASV024	-0.485856149850043	0.0255508713100647	21	0.155479770099542	Pantoea
Leaf	16S	purple	ASV032	-0.291413474089646	0.199952274520614	21	0.444556663997814	Hydrotalea
Leaf	16S	purple	ASV034	-0.340253721143776	0.131244836300113	21	0.364427409532352	Aminobacter
Leaf	16S	purple	ASV037	-0.410015844813082	0.0648914457702406	21	0.254232239592998	Leifsonia
Leaf	16S	purple	ASV038	-0.0895404529325727	0.69951355126465	21	0.833034553722063	Phenylobacterium
Leaf	16S	purple	ASV054	0.5	0.0223781602002318	21	0.143312255197143	Pseudomonas
Leaf	16S	purple	ASV060	-0.465716110523539	0.0333623455687478	21	0.164510876425204	Paenibacillus
Leaf	16S	purple	ASV080	0.131210128632026	0.570766891661177	21	0.75573764358841	Sphingomonas
Leaf	16S	purple	ASV091	-0.31563483902592	0.163382598908624	21	0.426125769199151	Curtobacterium
Leaf	16S	purple	ASV221	0.279148787658693	0.22041256673427	21	0.464052787699661	Staphylococcus
Leaf	16S	purple	ASV262	0.351994734698024	0.117621165507961	21	0.349725625894772	Corynebacterium
Leaf	16S	purple	ASV317	-0.291964259737488	0.199064434713347	21	0.444556663997814	Acinetobacter
Leaf	16S	brown	ASV003	-0.471905504518442	0.0307852519418643	21	0.160083310097694	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	brown	ASV004	-0.737940302828104	0.000134277528741089	21	0.00349121574726832	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	brown	ASV005	-0.109076551754225	0.637888810484961	21	0.797307804023349	Vibrionimonas
Leaf	16S	brown	ASV006	-0.158147307357806	0.493550077936459	21	0.709323227587072	Ralstonia
Leaf	16S	brown	ASV008	-0.555862383006931	0.008886009926904	21	0.0794187137217045	Methylobacterium-Methylorubrum
Leaf	16S	brown	ASV012	-0.177264014840618	0.44206984544923	21	0.661947517269527	Paenarthrobacter
Leaf	16S	brown	ASV013	-0.531064453526866	0.0132431223142637	21	0.1012433647924	Azospirillum
Leaf	16S	brown	ASV018	-0.212021664809366	0.356183615629401	21	0.592456518884092	Edaphobacter
Leaf	16S	brown	ASV020	-0.439413207271379	0.0462553690038561	21	0.206703680235982	Methylobacterium-Methylorubrum
Leaf	16S	brown	ASV021	-0.419263597888439	0.0585044621108304	21	0.23903251662425	Rhizobiaceae
Leaf	16S	brown	ASV024	-0.785478895726449	2.45626371999218e-05	21	0.00331505924941246	Pantoea
Leaf	16S	brown	ASV032	-0.491658487011581	0.0235938654869961	21	0.146692294114802	Hydrotalea
Leaf	16S	brown	ASV034	-0.389093968197907	0.0812761816027038	21	0.286975159733004	Aminobacter
Leaf	16S	brown	ASV037	-0.689290788166899	0.000547518446601252	21	0.0104670495994232	Leifsonia
Leaf	16S	brown	ASV038	-0.169312856454319	0.463130631683376	21	0.685153262574726	Phenylobacterium
Leaf	16S	brown	ASV054	0.712987012987013	0.000417663280371384	21	0.00918859216817045	Pseudomonas
Leaf	16S	brown	ASV060	-0.766652268320311	5.04285962952133e-05	21	0.00331505924941246	Paenibacillus
Leaf	16S	brown	ASV080	-0.240696726033584	0.293248391701045	21	0.551554952428379	Sphingomonas
Leaf	16S	brown	ASV091	-0.300936157796772	0.184973743712857	21	0.44085408918231	Curtobacterium
Leaf	16S	brown	ASV221	0.0533047936232681	0.818497214451881	21	0.918000797385247	Staphylococcus
Leaf	16S	brown	ASV262	0.44714935528672	0.04211938530238	21	0.194292648330334	Corynebacterium
Leaf	16S	brown	ASV317	-0.0851562424234339	0.713613516300369	21	0.833034553722063	Acinetobacter
Leaf	16S	pink	ASV003	-0.152944443292681	0.508052143373339	21	0.719080760878989	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	pink	ASV004	-0.433414711796778	0.0496729646792295	21	0.215249513609994	Burkholderia-Caballeronia-Paraburkholderia
Leaf	16S	pink	ASV005	0.413514091724972	0.0624161458371824	21	0.247930801519919	Vibrionimonas
Leaf	16S	pink	ASV006	0.0112962362398433	0.961240170733824	21	0.984774994745363	Ralstonia
Leaf	16S	pink	ASV008	-0.307009150711857	0.17583008223893	21	0.427888586720603	Methylobacterium-Methylorubrum
Leaf	16S	pink	ASV012	0.42578121211717	0.054299318318698	21	0.225066739697792	Paenarthrobacter
